,,,,,,,,,,,,,
name,type,group,investment_method,capacity,technical_lifetime,economic_lifetime,discount_rate,capacity_storage_energy,country,technology,lat,lon
FI_Wind_Offshore,producer,,none,1512.0,1.0,1.0,0.0,0.0,FI,Wind_Offshore,61.9241,25.7482
FI_Solar,producer,,none,1498.0,1.0,1.0,0.0,0.0,FI,Solar,61.9241,25.7482
FI_Nuclear,producer,,none,4394.0,1.0,1.0,0.0,0.0,FI,Nuclear,61.9241,25.7482
FI_Gas,producer,,none,855.0,1.0,1.0,0.0,0.0,FI,Gas,61.9241,25.7482
FI_OCGT,producer,,none,215.0,1.0,1.0,0.0,0.0,FI,OCGT,61.9241,25.7482
HR_E_ENS,producer,,none,2955.0,1.0,1.0,0.0,0.0,HR,E_ENS,45.1,15.2
HR_Wind_Onshore,producer,,none,2781.0,1.0,1.0,0.0,0.0,HR,Wind_Onshore,45.1,15.2
HR_Solar,producer,,none,750.0,1.0,1.0,0.0,0.0,HR,Solar,45.1,15.2
HR_Hydro,producer,,none,425.0,1.0,1.0,0.0,0.0,HR,Hydro,45.1,15.2
HR_Coal,producer,,none,290.0,1.0,1.0,0.0,0.0,HR,Coal,45.1,15.2
HR_Gas,producer,,none,697.0,1.0,1.0,0.0,0.0,HR,Gas,45.1,15.2
GR_E_ENS,producer,,none,10719.0,1.0,1.0,0.0,0.0,GR,E_ENS,39.0742,21.8243
GR_Wind_Onshore,producer,,none,6544.0,1.0,1.0,0.0,0.0,GR,Wind_Onshore,39.0742,21.8243
GR_Wind_Offshore,producer,,none,100.0,1.0,1.0,0.0,0.0,GR,Wind_Offshore,39.0742,21.8243
GR_Solar,producer,,none,7196.0,1.0,1.0,0.0,0.0,GR,Solar,39.0742,21.8243
GR_Hydro,producer,,none,383.0,1.0,1.0,0.0,0.0,GR,Hydro,39.0742,21.8243
GR_Gas,producer,,none,7521.0,1.0,1.0,0.0,0.0,GR,Gas,39.0742,21.8243
GR_OCGT,producer,,none,148.0,1.0,1.0,0.0,0.0,GR,OCGT,39.0742,21.8243
BG_E_ENS,producer,,none,6994.0,1.0,1.0,0.0,0.0,BG,E_ENS,42.7339,25.4858
BG_Wind_Onshore,producer,,none,948.0,1.0,1.0,0.0,0.0,BG,Wind_Onshore,42.7339,25.4858
