,,,p.u.
profile_name,year,period,value
SE_Hydro_Reservoir_Min_Storage_Level,2050,53,0.227624058
SK_Hydro_Reservoir_Min_Storage_Level,2050,1,0.555000000000002
SK_Hydro_Reservoir_Min_Storage_Level,2050,2,0.5600000000000014
SK_Hydro_Reservoir_Min_Storage_Level,2050,3,0.5490000000000018
SK_Hydro_Reservoir_Min_Storage_Level,2050,4,0.5040000000000006
SK_Hydro_Reservoir_Min_Storage_Level,2050,5,0.5139999999999999
SK_Hydro_Reservoir_Min_Storage_Level,2050,6,0.5019999999999997
SK_Hydro_Reservoir_Min_Storage_Level,2050,7,0.4470000000000013
SK_Hydro_Reservoir_Min_Storage_Level,2050,8,0.38799999999999957
SK_Hydro_Reservoir_Min_Storage_Level,2050,9,0.3629999999999996
SK_Hydro_Reservoir_Min_Storage_Level,2050,10,0.4129999999999983
SK_Hydro_Reservoir_Min_Storage_Level,2050,11,0.42100000000000015
SK_Hydro_Reservoir_Min_Storage_Level,2050,12,0.5079999999999997
SK_Hydro_Reservoir_Min_Storage_Level,2050,13,0.5520000000000019
SK_Hydro_Reservoir_Min_Storage_Level,2050,14,0.5480000000000015
SK_Hydro_Reservoir_Min_Storage_Level,2050,15,0.5619999999999986
SK_Hydro_Reservoir_Min_Storage_Level,2050,16,0.5810000000000018
SK_Hydro_Reservoir_Min_Storage_Level,2050,17,0.588999999999999
SK_Hydro_Reservoir_Min_Storage_Level,2050,18,0.5960000000000002
SK_Hydro_Reservoir_Min_Storage_Level,2050,19,0.6020000000000005
SK_Hydro_Reservoir_Min_Storage_Level,2050,20,0.6059999999999987
SK_Hydro_Reservoir_Min_Storage_Level,2050,21,0.6080000000000008
SK_Hydro_Reservoir_Min_Storage_Level,2050,22,0.5999999999999985
SK_Hydro_Reservoir_Min_Storage_Level,2050,23,0.6080000000000008
SK_Hydro_Reservoir_Min_Storage_Level,2050,24,0.6189999999999999
SK_Hydro_Reservoir_Min_Storage_Level,2050,25,0.6189999999999999
SK_Hydro_Reservoir_Min_Storage_Level,2050,26,0.6110000000000009
SK_Hydro_Reservoir_Min_Storage_Level,2050,27,0.6380000000000018
SK_Hydro_Reservoir_Min_Storage_Level,2050,28,0.6359999999999989
SK_Hydro_Reservoir_Min_Storage_Level,2050,29,0.628
SK_Hydro_Reservoir_Min_Storage_Level,2050,30,0.6700000000000015
SK_Hydro_Reservoir_Min_Storage_Level,2050,31,0.658000000000001
SK_Hydro_Reservoir_Min_Storage_Level,2050,32,0.6320000000000016
SK_Hydro_Reservoir_Min_Storage_Level,2050,33,0.622
SK_Hydro_Reservoir_Min_Storage_Level,2050,34,0.5990000000000004
SK_Hydro_Reservoir_Min_Storage_Level,2050,35,0.5789999999999981
SK_Hydro_Reservoir_Min_Storage_Level,2050,36,0.5619999999999986
SK_Hydro_Reservoir_Min_Storage_Level,2050,37,0.5460000000000016
SK_Hydro_Reservoir_Min_Storage_Level,2050,38,0.5340000000000013
SK_Hydro_Reservoir_Min_Storage_Level,2050,39,0.52
SK_Hydro_Reservoir_Min_Storage_Level,2050,40,0.5190000000000006
SK_Hydro_Reservoir_Min_Storage_Level,2050,41,0.5109999999999998
SK_Hydro_Reservoir_Min_Storage_Level,2050,42,0.5049999999999997
SK_Hydro_Reservoir_Min_Storage_Level,2050,43,0.4829999999999999
SK_Hydro_Reservoir_Min_Storage_Level,2050,44,0.48799999999999966
SK_Hydro_Reservoir_Min_Storage_Level,2050,45,0.47699999999999954
SK_Hydro_Reservoir_Min_Storage_Level,2050,46,0.4680000000000021
SK_Hydro_Reservoir_Min_Storage_Level,2050,47,0.47199999999999964
SK_Hydro_Reservoir_Min_Storage_Level,2050,48,0.5709999999999988
SK_Hydro_Reservoir_Min_Storage_Level,2050,49,0.569999999999998
SK_Hydro_Reservoir_Min_Storage_Level,2050,50,0.5639999999999977
SK_Hydro_Reservoir_Min_Storage_Level,2050,51,0.5649999999999986
SK_Hydro_Reservoir_Min_Storage_Level,2050,52,0.5759999999999981
SK_Hydro_Reservoir_Min_Storage_Level,2050,53,0.5
